skill_id,skill_name,has_script,moment_type,moment_id,has_condition,effect_id,effect_name
1001,快速防守,False,BeforeUnderAction,1001003,Yes,3000001,SetActionWheelToNow
1001,快速防守,False,BeforeClash,1001004,Yes,119000701,AddBuff
1001,快速防守,False,AfterAction,1001006,No,400001,AddRandomKey
1002,起势,False,ActionWheelStart,1002001,No,400003,AddRandomKey
1002,起势,False,ReleaseSkillAction,1002002,No,900002,AddRandonKeyToDefineCount
1002,起势,False,AfterAction,1002003,No,400001,AddRandomKey
1003,借力,False,BeforeClash,1003003,No,500001,GetSkillSameKey
1004,汲苦,False,ActionWheelStart,1004003,No,119000301,AddBuff
1004,汲苦,False,BeforeClash,1004005,Yes,119000701,AddBuff
1004,汲苦,False,AfterUnderAction,1004007,Yes,3300001,SetBeDamageInSkillAction
1004,汲苦,False,SkillEnd,1004004,No,19000301,RemoveBuff
1004,汲苦,False,SkillEnd,1004008,Yes,101001,ChangeProperty
1005,招架,False,BeforeClash,1005003,Yes,119000701,AddBuff
1005,招架,False,AfterAction,1005005,No,400001,AddRandomKey
1006,外炁屏障,False,DoDesitionAction,1006001,No,2300001,ChangeSkillGangQiCostByUnitRes
1006,外炁屏障,False,ReleaseSkillAction,1006002,No,3800001,GetShieldBuffByPowerPct
1006,外炁屏障,False,AfterAction,1006003,No,3810001,GetArmorBuffByPowerPct
1007,风传,False,DoDesitionAction,1007001,No,2900002,ChangeActionWheel
1007,风传,False,ReleaseSkillAction,1007002,No,121004102,AddBuff
1007,风传,False,ReleaseSkillAction,1007002,No,22001100,RemoveBuff
1007,风传,False,AfterAction,1007003,No,102002,ChangeProperty
1007,风传,False,AfterAction,1007003,No,400002,AddRandomKey
1007,风传,False,AfterAction,1007003,No,400012,AddRandomKey
1008,临阵之志,False,DoDesitionAction,1008001,No,2900001,ChangeActionWheel
1008,临阵之志,False,ReleaseSkillAction,1008002,No,111003101,AddBuff
1008,临阵之志,False,AfterAction,1008003,No,119000904,AddBuff
1009,聚炁,False,ReleaseSkillAction,1009001,No,101001,ChangeProperty
1009,聚炁,False,ReleaseSkillAction,1009001,No,102003,ChangeProperty
1012,铩血功,False,ReleaseSkillAction,1012001,No,3810001,GetArmorBuffByPowerPct
1012,铩血功,False,ReleaseSkillAction,1012001,No,102004,ChangeProperty
1012,铩血功,False,AfterUnderAction,1012002,Yes,3810002,ConvertDamageToArmorBuff
1014,披茧功,False,ReleaseSkillAction,1014002,No,3900002,ConvertBuffAbnormalToGain
1014,披茧功,False,AfterAction,1014003,No,400006,AddRandomKey
1014,披茧功,False,AfterAction,1014003,No,111001102,AddBuff
1015,汇力诀,False,DoDesitionAction,1015001,No,111001103,AddBuff
1015,汇力诀,False,ReleaseSkillAction,1015002,No,101002,ChangeProperty
1015,汇力诀,False,AfterAction,1015003,No,111009101,AddBuff
1015,汇力诀,False,AfterAction,1015003,No,111007102,AddBuff
1016,玄龙灌体,False,ReleaseSkillAction,1016002,No,111009102,AddBuff
1016,玄龙灌体,False,ReleaseSkillAction,1016002,No,111007103,AddBuff
1016,玄龙灌体,False,ReleaseSkillAction,1016002,No,111005104,AddBuff
1016,玄龙灌体,False,AfterAction,1016003,No,400005,AddRandomKey
1017,调步,False,ReleaseSkillAction,1017001,No,111006102,AddBuff
1017,调步,False,AfterAction,1017002,No,600004,RandomAllKey
1017,调步,False,AfterAction,1017002,No,3400001,AddActionTimes
1018,生生不息,False,ReleaseSkillAction,1018002,No,104001,ChangeProperty
1018,生生不息,False,AfterAction,1018003,No,102005,ChangeProperty
1019,生生不息,False,ReleaseSkillAction,1019002,No,104002,ChangeProperty
1019,生生不息,False,AfterAction,1019003,No,102006,ChangeProperty
1020,灵归,False,DoDesitionAction,1020001,No,400005,AddRandomKey
1020,灵归,False,ReleaseSkillAction,1020002,No,4100002,RemoveAllKeyAndAddAllKey
1020,灵归,False,AfterAction,1020003,No,102007,ChangeProperty
1021,观,False,DoDesitionAction,1021001,No,2900011,ChangeActionWheel
1021,观,False,ReleaseSkillAction,1021002,No,111001103,AddBuff
1021,观,False,ReleaseSkillAction,1021002,No,3400001,AddActionTimes
1022,灵归,False,DoDesitionAction,1022002,No,400005,AddRandomKey
1022,灵归,False,ReleaseSkillAction,1022003,No,4100002,RemoveAllKeyAndAddAllKey
1022,灵归,False,AfterAction,1022004,No,102007,ChangeProperty
1023,铁筋功,False,BeforeClash,1023003,No,142011103,AddBuff
1023,铁筋功,False,AfterAction,1023004,No,400001,AddRandomKey
1024,焚羽凌霄,False,ActionWheelStart,1024001,No,111004110,AddBuff
1024,焚羽凌霄,False,ActionWheelStart,1024001,No,112001110,AddBuff
1024,焚羽凌霄,False,ActionWheelStart,1024001,No,111006105,AddBuff
1024,焚羽凌霄,False,ActionWheelStart,1024001,No,111005105,AddBuff
1024,焚羽凌霄,False,ActionWheelStart,1024001,No,112009105,AddBuff
1024,焚羽凌霄,False,ActionWheelStart,1024001,No,112010105,AddBuff
1024,焚羽凌霄,False,ReleaseSkillAction,1024002,No,111007105,AddBuff
1024,焚羽凌霄,False,ReleaseSkillAction,1024002,No,111008105,AddBuff
1024,焚羽凌霄,False,ReleaseSkillAction,1024002,No,111009105,AddBuff
1024,焚羽凌霄,False,ReleaseSkillAction,1024002,No,111010105,AddBuff
1024,焚羽凌霄,False,ReleaseSkillAction,1024002,No,112011105,AddBuff
1024,焚羽凌霄,False,ReleaseSkillAction,1024002,No,112012105,AddBuff
1024,焚羽凌霄,False,ReleaseSkillAction,1024002,No,112013105,AddBuff
1024,焚羽凌霄,False,ReleaseSkillAction,1024002,No,112014105,AddBuff
1024,焚羽凌霄,False,AfterAction,1024003,No,105001,SetProperty
1024,焚羽凌霄,False,AfterAction,1024003,No,106001,SetProperty
